id,assert_type,subject,predicate,object
L20758,relationship,I2178,mentioned in,D20758
L20759,relationship,I2178,mentioned in,D20759
L20760,relationship,I2178,mentioned in,D80072
L20761,relationship,I2178,mentioned in,D20761
L20762,relationship,I2178,mentioned in,D20762
L20763,relationship,I2179,mentioned in,D20763
L20764,relationship,I2179,mentioned in,D160090
L20765,relationship,I2179,mentioned in,D20765
L20766,relationship,I2179,mentioned in,D20766
L20767,relationship,I2179,mentioned in,D20767
L20768,relationship,I2180,mentioned in,D20768
L20769,relationship,I2180,mentioned in,D30603
L20770,relationship,I2180,mentioned in,D20547
L20771,relationship,I2180,mentioned in,D20771
L20772,relationship,I2181,mentioned in,D110328
L20773,relationship,I2181,mentioned in,D20773
L20774,relationship,I2182,mentioned in,D20993
L20775,relationship,I2182,mentioned in,D20775
L20776,relationship,I2183,mentioned in,D130862
L20777,relationship,I2183,mentioned in,D20777
L20778,relationship,I2183,mentioned in,D130748
L20779,relationship,I2183,mentioned in,D20779
L20780,relationship,I2184,mentioned in,D20780
L20781,relationship,I2185,mentioned in,D20781
L20782,relationship,I2185,mentioned in,D20782
L20783,relationship,I2186,mentioned in,D160052
L20784,relationship,I2187,mentioned in,D20784
L20785,relationship,I2188,mentioned in,D20900
L20786,relationship,I2189,mentioned in,D70178
L20788,relationship,I2190,mentioned in,D20788
L20789,relationship,I2190,mentioned in,D20789
L20791,relationship,I2192,mentioned in,D20793
L20792,relationship,I2192,mentioned in,D20792
L20793,relationship,I2193,mentioned in,D20793
L20794,relationship,I2193,mentioned in,D160530
L20795,relationship,I2193,mentioned in,D170185
L20796,relationship,I2193,mentioned in,D20796
L20797,relationship,I2193,mentioned in,D20797
L20798,relationship,I2193,mentioned in,D20798
L20799,relationship,I2193,mentioned in,D20834
L20800,relationship,I2194,mentioned in,D20800
L20801,relationship,I2194,mentioned in,D70150
L20802,relationship,I2195,mentioned in,D20802
L20803,relationship,I2195,mentioned in,D160376
L20804,relationship,I2195,mentioned in,D10230
L20805,relationship,I2195,mentioned in,D20177
L20806,relationship,I2195,mentioned in,D20806
L20807,relationship,I2195,mentioned in,D20807
L20808,relationship,I2195,mentioned in,D20808
L20809,relationship,I2196,mentioned in,D190971
L20810,relationship,I2196,mentioned in,D170368
L20811,relationship,I2196,mentioned in,D130746
L20813,relationship,I2196,mentioned in,D20813
L20814,relationship,I2196,mentioned in,D20814
L20815,relationship,I2196,mentioned in,D191452
L20816,relationship,I2196,mentioned in,D170362
L20817,relationship,I2196,mentioned in,D190974
L20818,relationship,I2196,mentioned in,D190968
L20819,relationship,I2196,mentioned in,D20819
L20820,relationship,I2196,mentioned in,D160129
L20821,relationship,I2196,mentioned in,D140212
L20822,relationship,I2196,mentioned in,D20822
L20823,relationship,I2196,mentioned in,D20823
L20824,relationship,I2196,mentioned in,D20824
L20825,relationship,I2196,mentioned in,D20825
L20826,relationship,I2196,mentioned in,D210116
L20827,relationship,I2196,mentioned in,D20827
L20828,relationship,I2196,mentioned in,D20828
L20829,relationship,I2196,mentioned in,D110386
L20830,relationship,I2196,mentioned in,D160521
L20831,relationship,I2196,mentioned in,D70378
L20832,relationship,I2196,mentioned in,D190035
L20833,relationship,I2196,mentioned in,D20833
L20834,relationship,I2196,mentioned in,D20834
L20835,relationship,I2196,mentioned in,D160378
L20836,relationship,I2196,mentioned in,D20836
L20837,relationship,I2196,mentioned in,D210056
L20838,relationship,I2196,mentioned in,D20838
L20839,relationship,I2196,mentioned in,D130734
L20841,relationship,I2196,mentioned in,D160431
L20842,relationship,I2196,mentioned in,D20842
L20843,relationship,I2196,mentioned in,D20843
L20844,relationship,I2196,mentioned in,D230054
L20845,relationship,I2196,mentioned in,D20845
L20846,relationship,I2196,mentioned in,D20846
L20847,relationship,I2196,mentioned in,D20847
L20848,relationship,I2196,mentioned in,D190967
L20849,relationship,I2196,mentioned in,D20849
L20850,relationship,I2196,mentioned in,D160527
L20851,relationship,I2196,mentioned in,D20851
L20852,relationship,I2196,mentioned in,D20852
L20853,relationship,I2196,mentioned in,D20853
L20854,relationship,I2196,mentioned in,D170204
L20855,relationship,I2197,mentioned in,D20802
L20856,relationship,I2198,mentioned in,D20802
L20857,relationship,I2199,mentioned in,D130428
L20859,relationship,I2200,mentioned in,D200330
L20860,relationship,I2200,mentioned in,D20860
L20861,relationship,I2201,mentioned in,D130711
L20862,relationship,I2201,mentioned in,D20862
L20863,relationship,I2201,mentioned in,D190533
L20864,relationship,I2201,mentioned in,D20864
L20865,relationship,I2201,mentioned in,D60074
L20866,relationship,I2202,mentioned in,D20866
L20867,relationship,I2202,mentioned in,D20867
L20868,relationship,I2203,mentioned in,D20868
L20869,relationship,I2204,mentioned in,D20869
L20870,relationship,I2204,mentioned in,D20870
L20871,relationship,I2204,mentioned in,D170305
L20872,relationship,I2204,mentioned in,D20872
L20873,relationship,I2204,mentioned in,D230490
L20874,relationship,I2205,mentioned in,D20874
L20875,relationship,I2206,mentioned in,D200331
L20876,relationship,I2207,mentioned in,D170280
L20877,relationship,I2207,mentioned in,D190098
L20878,relationship,I2208,mentioned in,D20878
L20879,relationship,I2208,mentioned in,D20879
L20880,relationship,I2208,mentioned in,D130790
L20881,relationship,I2208,mentioned in,D20881
L20883,relationship,I2208,mentioned in,D90224
L20884,relationship,I2208,mentioned in,D20884
L20885,relationship,I2208,mentioned in,D80054
L20886,relationship,I2209,mentioned in,D21404
L20887,relationship,I2209,mentioned in,D20887
L20888,relationship,I2209,mentioned in,D120307
L20890,relationship,I2210,mentioned in,D20890
L20891,relationship,I2210,mentioned in,D20892
L20892,relationship,I2211,mentioned in,D20892
L20893,relationship,I2212,mentioned in,D90012
L20894,relationship,I2212,mentioned in,D21288
L20895,relationship,I2212,mentioned in,D20895
L20896,relationship,I2212,mentioned in,D200332
L20897,relationship,I2213,mentioned in,D20897
L20898,relationship,I2213,mentioned in,D60460
L20899,relationship,I2213,mentioned in,D160597
L20900,relationship,I2213,mentioned in,D20900
L20901,relationship,I2213,mentioned in,D20901
L20902,relationship,I2213,mentioned in,D120008
L20903,relationship,I2213,mentioned in,D20903
L20904,relationship,I2213,mentioned in,D20904
L20905,relationship,I2214,mentioned in,D20905
L20906,relationship,I2214,mentioned in,D20906
L20907,relationship,I2214,mentioned in,D110072
L20908,relationship,I2215,mentioned in,D20908
L20909,relationship,I2216,mentioned in,D20909
L20910,relationship,I2217,mentioned in,D20391
L20911,relationship,I2217,mentioned in,D20911
L20912,relationship,I2217,mentioned in,D21056
L20913,relationship,I2218,mentioned in,D20913
L20914,relationship,I2218,mentioned in,D160564
L20915,relationship,I2219,mentioned in,D20915
L20916,relationship,I2219,mentioned in,D20916
L20917,relationship,I2219,mentioned in,D20917
L20918,relationship,I2220,mentioned in,D140236
L20919,relationship,I2221,mentioned in,D160403
L20920,relationship,I2221,mentioned in,D20920
L20921,relationship,I2221,mentioned in,D10203
L20922,relationship,I2221,mentioned in,D20922
L20923,relationship,I2222,mentioned in,D20923
L20924,relationship,I2223,mentioned in,D20924
L20925,relationship,I2223,mentioned in,D20925
L20926,relationship,I2223,mentioned in,D170144
L20927,relationship,I2223,mentioned in,D170525
L20928,relationship,I2224,mentioned in,D110416
L20929,relationship,I2224,mentioned in,D20929
L20930,relationship,I2224,mentioned in,D20930
L20931,relationship,I2224,mentioned in,D20931
L20932,relationship,I2224,mentioned in,D190965
L20933,relationship,I2224,mentioned in,D20933
L20934,relationship,I2224,mentioned in,D170179
L20935,relationship,I2224,mentioned in,D200333
L20936,relationship,I2224,mentioned in,D170036
L20937,relationship,I2224,mentioned in,D160360
L20938,relationship,I2225,mentioned in,D20938
L20939,relationship,I2225,mentioned in,D110390
L20940,relationship,I2226,mentioned in,D20940
L20941,relationship,I2227,mentioned in,D20941
L20942,relationship,I2228,mentioned in,D20942
L20943,relationship,I2228,mentioned in,D230723
L20944,relationship,I2229,mentioned in,D200334
L20945,relationship,I2230,mentioned in,D20626
L20946,relationship,I2231,mentioned in,D20946
L20947,relationship,I2232,mentioned in,D20947
L20948,relationship,I2233,mentioned in,D130202
L20949,relationship,I2234,mentioned in,D20949
L20950,relationship,I2235,mentioned in,D20952
L20951,relationship,I2236,mentioned in,D20951
L20952,relationship,I2237,mentioned in,D20952
L20953,relationship,I2238,mentioned in,D20953
L20954,relationship,I2239,mentioned in,D20954
L20955,relationship,I2239,mentioned in,D20955
L20956,relationship,I2239,mentioned in,D20956
L20957,relationship,I2239,mentioned in,D20957
L20958,relationship,I2239,mentioned in,D80344
L20959,relationship,I2239,mentioned in,D20959
L20960,relationship,I2240,mentioned in,D90210
L20961,relationship,I2241,mentioned in,D80623
L20962,relationship,I2242,mentioned in,D20962
L20963,relationship,I2242,mentioned in,D20963
L20964,relationship,I2242,mentioned in,D230713
L20965,relationship,I2242,mentioned in,D70096
L20966,relationship,I2242,mentioned in,D20966
L20967,relationship,I2242,mentioned in,D21059
L20968,relationship,I2242,mentioned in,D20968
L20969,relationship,I2242,mentioned in,D20969
L20970,relationship,I2243,mentioned in,D40110
L20971,relationship,I2244,mentioned in,D20971
L20972,relationship,I2244,mentioned in,D170611
L20973,relationship,I2245,mentioned in,D20973
L20974,relationship,I2246,mentioned in,D20974
L20975,relationship,I2246,mentioned in,D20975
L20976,relationship,I2246,mentioned in,D20976
L20977,relationship,I2246,mentioned in,D20977
L20978,relationship,I2246,mentioned in,D20978
L20979,relationship,I2247,mentioned in,D130004
L20980,relationship,I2247,mentioned in,D160311
L20981,relationship,I2247,mentioned in,D20981
L20982,relationship,I2248,mentioned in,D20982
L20983,relationship,I2249,mentioned in,D20982
L20984,relationship,I2250,mentioned in,D20984
L20985,relationship,I2251,mentioned in,D20988
L20986,relationship,I2251,mentioned in,D20301
L20987,relationship,I2251,mentioned in,D20987
L20988,relationship,I2252,mentioned in,D20988
L20989,relationship,I2252,mentioned in,D60251
L20990,relationship,I2252,mentioned in,D10219
L20991,relationship,I2252,mentioned in,D20991
L20992,relationship,I2252,mentioned in,D170105
L20993,relationship,I2253,mentioned in,D20993
L20994,relationship,I2253,mentioned in,D20994
L20995,relationship,I2253,mentioned in,D20775
L20996,relationship,I2254,mentioned in,D20996
L20997,relationship,I2254,mentioned in,D110467
L20998,relationship,I2254,mentioned in,D20998
L20999,relationship,I2255,mentioned in,D20624
L21000,relationship,I2255,mentioned in,D20622
L21001,relationship,I2256,mentioned in,D200039
L21002,relationship,I2256,mentioned in,D21002
L21003,relationship,I2257,mentioned in,D170008
L21004,relationship,I2258,mentioned in,D21004
L21005,relationship,I2258,mentioned in,D21005
L21006,relationship,I2258,mentioned in,D170534
L21007,relationship,I2258,mentioned in,D21008
L21008,relationship,I2259,mentioned in,D21008
L21009,relationship,I2259,mentioned in,D80414
L21010,relationship,I2259,mentioned in,D21010
L21011,relationship,I2259,mentioned in,D21011
L21012,relationship,I2260,mentioned in,D21015
L21013,relationship,I2260,mentioned in,D21018
L21014,relationship,I2261,mentioned in,D21008
L21015,relationship,I2261,mentioned in,D21015
L21016,relationship,I2261,mentioned in,D21005
L21017,relationship,I2262,mentioned in,D21008
L21018,relationship,I2262,mentioned in,D21018
L21019,relationship,I2262,mentioned in,D21019
L21020,relationship,I2262,mentioned in,D80417
L21021,relationship,I2262,mentioned in,D21021
L21022,relationship,I2263,mentioned in,D160556
L21023,relationship,I2263,mentioned in,D21023
L21024,relationship,I2264,mentioned in,D10183
L21026,relationship,I2264,mentioned in,D21026
L21027,relationship,I2265,mentioned in,D21027
L21028,relationship,I2265,mentioned in,D170054
L21029,relationship,I2265,mentioned in,D21029
L21030,relationship,I2266,mentioned in,D21030
L21031,relationship,I2267,mentioned in,D21031
L21032,relationship,I2268,mentioned in,D21032
L21033,relationship,I2269,mentioned in,D21154
L21034,relationship,I2269,mentioned in,D21034
L21035,relationship,I2269,mentioned in,D21035
L21036,relationship,I2269,mentioned in,D30687
L21037,relationship,I2269,mentioned in,D130249
L21038,relationship,I2269,mentioned in,D21038
L21039,relationship,I2269,mentioned in,D30033
L21040,relationship,I2270,mentioned in,D20255
L21041,relationship,I2271,mentioned in,D21041
L21042,relationship,I2271,mentioned in,D21042
L21043,relationship,I2271,mentioned in,D30023
L21044,relationship,I2272,mentioned in,D160490
L21045,relationship,I2272,mentioned in,D50047
L21046,relationship,I2272,mentioned in,D21046
L21047,relationship,I2272,mentioned in,D21047
L21048,relationship,I2273,mentioned in,D21048
L21049,relationship,I2274,mentioned in,D21049
L21050,relationship,I2275,mentioned in,D170032
L21051,relationship,I2276,mentioned in,D21051
L21052,relationship,I2276,mentioned in,D130884
L21053,relationship,I2276,mentioned in,D170233
L21054,relationship,I2277,mentioned in,D21054
L21055,relationship,I2277,mentioned in,D21055
L21056,relationship,I2278,mentioned in,D21056
L21057,relationship,I2278,mentioned in,D21057
L21058,relationship,I2279,mentioned in,D21058
L21059,relationship,I2279,mentioned in,D21059
L21060,relationship,I2279,mentioned in,D40092
L21061,relationship,I2279,mentioned in,D21061
L21062,relationship,I2279,mentioned in,D10138
L21063,relationship,I2279,mentioned in,D21054
L21064,relationship,I2279,mentioned in,D21055
L21065,relationship,I2279,mentioned in,D21065
L21066,relationship,I2279,mentioned in,D191088
L21067,relationship,I2280,mentioned in,D21067
L21068,relationship,I2280,mentioned in,D21068
L21069,relationship,I2281,mentioned in,D21069
L21070,relationship,I2281,mentioned in,D21070
L21071,relationship,I2282,mentioned in,D20352
L21072,relationship,I2282,mentioned in,D21072
L21073,relationship,I2282,mentioned in,D20550
L21074,relationship,I2282,mentioned in,D190323
L21075,relationship,I2282,mentioned in,D120180
L21076,relationship,I2282,mentioned in,D21076
L21077,relationship,I2282,mentioned in,D160045
L21078,relationship,I2282,mentioned in,D21078
L21079,relationship,I2283,mentioned in,D200335
L21080,relationship,I2283,mentioned in,D20123
L21081,relationship,I2283,mentioned in,D60364
L21083,relationship,I2285,mentioned in,D10043
L21084,relationship,I2286,mentioned in,D50139
L21085,relationship,I2287,mentioned in,D21085
L21086,relationship,I2288,mentioned in,D21086
L21087,relationship,I2288,mentioned in,D21087
L21088,relationship,I2288,mentioned in,D21088
L21089,relationship,I2288,mentioned in,D21089
L21090,relationship,I2289,mentioned in,D50227
L21091,relationship,I2289,mentioned in,D21091
L21092,relationship,I2290,mentioned in,D21092
L21093,relationship,I2290,mentioned in,D21093
L21094,relationship,I2291,mentioned in,D21094
L21095,relationship,I2291,mentioned in,D10094
L21096,relationship,I2292,mentioned in,D191513
L21097,relationship,I2292,mentioned in,D21097
L21098,relationship,I2293,mentioned in,D21098
L21099,relationship,I2293,mentioned in,D21099
L21100,relationship,I2293,mentioned in,D21100
L21101,relationship,I2294,mentioned in,D140103
L21102,relationship,I2295,mentioned in,D140107
L21103,relationship,I2295,mentioned in,D140218
L21104,relationship,I2295,mentioned in,D140220
L21105,relationship,I2295,mentioned in,D21105
L21106,relationship,I2295,mentioned in,D140219
L21107,relationship,I2296,mentioned in,D190551
L21108,relationship,I2297,mentioned in,D230829
L21109,relationship,I2297,mentioned in,D80281
L21110,relationship,I2297,mentioned in,D21110
L21111,relationship,I2297,mentioned in,D21111
L21112,relationship,I2298,mentioned in,D21112
L21113,relationship,I2298,mentioned in,D21113
L21114,relationship,I2299,mentioned in,D191471
L21115,relationship,I2300,mentioned in,D130037
L21116,relationship,I2300,mentioned in,D40234
L21117,relationship,I2300,mentioned in,D20513
L21118,relationship,I2301,mentioned in,D130285
L21119,relationship,I2302,mentioned in,D21119
L21120,relationship,I2302,mentioned in,D20976
L21121,relationship,I2302,mentioned in,D21121
L21122,relationship,I2304,mentioned in,D21122
L21123,relationship,I2305,mentioned in,D21123
L21124,relationship,I2305,mentioned in,D21325
L21125,relationship,I2306,mentioned in,D21125
L21126,relationship,I2307,mentioned in,D20842
L21127,relationship,I2308,mentioned in,D20477
L21128,relationship,I2309,mentioned in,D21128
L21129,relationship,I2309,mentioned in,D21156
L21130,relationship,I2309,mentioned in,D10035
L21131,relationship,I2310,mentioned in,D21131
L21132,relationship,I2310,mentioned in,D21132
L21133,relationship,I2310,mentioned in,D21311
L21134,relationship,I2310,mentioned in,D21134
L21135,relationship,I2310,mentioned in,D160025
L21136,relationship,I2310,mentioned in,D21136
L21137,relationship,I2310,mentioned in,D21137
L21138,relationship,I2310,mentioned in,D21138
L21139,relationship,I2310,mentioned in,D21406
L21140,relationship,I2310,mentioned in,D80202
L21141,relationship,I2310,mentioned in,D21141
L21142,relationship,I2310,mentioned in,D21142
L21143,relationship,I2310,mentioned in,D21143
L21144,relationship,I2310,mentioned in,D120431
L21145,relationship,I2310,mentioned in,D191617
L21146,relationship,I2311,mentioned in,D210023
L21147,relationship,I2312,mentioned in,D21147
L21148,relationship,I2312,mentioned in,D230626
L21149,relationship,I2312,mentioned in,D21149
L21150,relationship,I2313,mentioned in,D140002
L21151,relationship,I2313,mentioned in,D21151
L21152,relationship,I2314,mentioned in,D30167
L21153,relationship,I2315,mentioned in,D21035
L21154,relationship,I2315,mentioned in,D21154
L21155,relationship,I2316,mentioned in,D60104
L21156,relationship,I2316,mentioned in,D21156
L21157,relationship,I2316,mentioned in,D160526
L21158,relationship,I2317,mentioned in,D230646
L21159,relationship,I2317,mentioned in,D30022
L21160,relationship,I2317,mentioned in,D21160
L21161,relationship,I2317,mentioned in,D21161
L21162,relationship,I2317,mentioned in,D21162
L21163,relationship,I2317,mentioned in,D21219
L21164,relationship,I2318,mentioned in,D21164
L21165,relationship,I2318,mentioned in,D21165
L21166,relationship,I2318,mentioned in,D21166
L21167,relationship,I2319,mentioned in,D170002
L21168,relationship,I2320,mentioned in,D20119
L21169,relationship,I2320,mentioned in,D191551
L21170,relationship,I2321,mentioned in,D21170
L21171,relationship,I2321,mentioned in,D21171
L21172,relationship,I2321,mentioned in,D21172
L21173,relationship,I2321,mentioned in,D21173
L21174,relationship,I2321,mentioned in,D70122
L21175,relationship,I2322,mentioned in,D21175
L21176,relationship,I2322,mentioned in,D20981
L21177,relationship,I2322,mentioned in,D160342
L21178,relationship,I2323,mentioned in,D21178
L21179,relationship,I2324,mentioned in,D160200
L21180,relationship,I2325,mentioned in,D10217
L21181,relationship,I2325,mentioned in,D21181
L21182,relationship,I2326,mentioned in,D140086
L21183,relationship,I2326,mentioned in,D21183
L21184,relationship,I2327,mentioned in,D40038
L21185,relationship,I2327,mentioned in,D21185
L21186,relationship,I2327,mentioned in,D21186
L21187,relationship,I2328,mentioned in,D21187
L21188,relationship,I2328,mentioned in,D21188
L21189,relationship,I2328,mentioned in,D21189
L21191,relationship,I2329,mentioned in,D21191
L21192,relationship,I2330,mentioned in,D21192
L21193,relationship,I2330,mentioned in,D21193
L21194,relationship,I2331,mentioned in,D21194
L21195,relationship,I2332,mentioned in,D21195
L21196,relationship,I2332,mentioned in,D60495
L21197,relationship,I2333,mentioned in,D230150
L21198,relationship,I2334,mentioned in,D10216
L21199,relationship,I2334,mentioned in,D10222
L21200,relationship,I2334,mentioned in,D21200
L21201,relationship,I2334,mentioned in,D21201
L21202,relationship,I2335,mentioned in,D191657
L21203,relationship,I2335,mentioned in,D21203
L21204,relationship,I2336,mentioned in,D21204
L21205,relationship,I2336,mentioned in,D21205
L21206,relationship,I2337,mentioned in,D21206
L21207,relationship,I2338,mentioned in,D130778
L21208,relationship,I2339,mentioned in,D21208
L21209,relationship,I2339,mentioned in,D80199
L21210,relationship,I2339,mentioned in,D80200
L21211,relationship,I2340,mentioned in,D21211
L21212,relationship,I2341,mentioned in,D21212
L21213,relationship,I2342,mentioned in,D21213
L21214,relationship,I2343,mentioned in,D21214
L21215,relationship,I2343,mentioned in,D21215
L21216,relationship,I2343,mentioned in,D80717
L21217,relationship,I2344,mentioned in,D21217
L21218,relationship,I2345,mentioned in,D110322
L21219,relationship,I2345,mentioned in,D21219
L21220,relationship,I2345,mentioned in,D21220
L21221,relationship,I2345,mentioned in,D21221
L21222,relationship,I2345,mentioned in,D160545
L21223,relationship,I2345,mentioned in,D21223
L21224,relationship,I2346,mentioned in,D230326
L21225,relationship,I2346,mentioned in,D21225
L21226,relationship,I2346,mentioned in,D21178
L21227,relationship,I2347,mentioned in,D170355
L21228,relationship,I2347,mentioned in,D20798
L21229,relationship,I2347,mentioned in,D160533
L21230,relationship,I2347,mentioned in,D20823
L21231,relationship,I2347,mentioned in,D21231
L21232,relationship,I2347,mentioned in,D21232
L21233,relationship,I2347,mentioned in,D170325
L21234,relationship,I2348,mentioned in,D190006
L21235,relationship,I2348,mentioned in,D190007
L21236,relationship,I2348,mentioned in,D80007
L21237,relationship,I2348,mentioned in,D30035
L21238,relationship,I2349,mentioned in,D21238
L21239,relationship,I2350,mentioned in,D21239
L21240,relationship,I2351,mentioned in,D110693
L21241,relationship,I2351,mentioned in,D110697
L21242,relationship,I2352,mentioned in,D190225
L21243,relationship,I2352,mentioned in,D120054
L21244,relationship,I2353,mentioned in,D21266
L21245,relationship,I2353,mentioned in,D200337
L21246,relationship,I2353,mentioned in,D21246
L21247,relationship,I2354,mentioned in,D230309
L21248,relationship,I2355,mentioned in,D21248
L21249,relationship,I2355,mentioned in,D190583
L21250,relationship,I2355,mentioned in,D21250
L21251,relationship,I2355,mentioned in,D140168
L21252,relationship,I2355,mentioned in,D21252
L21253,relationship,I2355,mentioned in,D21253
L21254,relationship,I2356,mentioned in,D21254
L21255,relationship,I2357,mentioned in,D80781
L21256,relationship,I2358,mentioned in,D40272
L21257,relationship,I2358,mentioned in,D21257
L21258,relationship,I2359,mentioned in,D21258
L21259,relationship,I2360,mentioned in,D21259
L21260,relationship,I2360,mentioned in,D130674
L21261,relationship,I2360,mentioned in,D60415
L21262,relationship,I2360,mentioned in,D21262
L21263,relationship,I2361,mentioned in,D10010
L21264,relationship,I2362,mentioned in,D190013
L21265,relationship,I2363,mentioned in,D21296
L21266,relationship,I2364,mentioned in,D21266
L21267,relationship,I2365,mentioned in,D21296
L21269,relationship,I2367,mentioned in,D21269
L21270,relationship,I2368,mentioned in,D130670
L21271,relationship,I2368,mentioned in,D21271
L21272,relationship,I2369,mentioned in,D21272
L21273,relationship,I2369,mentioned in,D21273
L21274,relationship,I2369,mentioned in,D21274
L21275,relationship,I2369,mentioned in,D21268
L21276,relationship,I2369,mentioned in,D80209
L21277,relationship,I2369,mentioned in,D21277
L21278,relationship,I2369,mentioned in,D160069
L21279,relationship,I2369,mentioned in,D120024
L21280,relationship,I2369,mentioned in,D21280
L21281,relationship,I2369,mentioned in,D21281
L21282,relationship,I2369,mentioned in,D21282
L21283,relationship,I2369,mentioned in,D90019
L21284,relationship,I2369,mentioned in,D21284
L21285,relationship,I2369,mentioned in,D80611
L21286,relationship,I2369,mentioned in,D21286
L21287,relationship,I2369,mentioned in,D20648
L21288,relationship,I2369,mentioned in,D21288
L21289,relationship,I2369,mentioned in,D21289
L21290,relationship,I2369,mentioned in,D20906
L21291,relationship,I2369,mentioned in,D110127
L21292,relationship,I2369,mentioned in,D21292
L21293,relationship,I2370,mentioned in,D21274
L21294,relationship,I2370,mentioned in,D21294
L21295,relationship,I2370,mentioned in,D20780
L21296,relationship,I2371,mentioned in,D21296
L21297,relationship,I2372,mentioned in,D21297
L21298,relationship,I2372,mentioned in,D21298
L21299,relationship,I2373,mentioned in,D21299
L21300,relationship,I2373,mentioned in,D21300
L21301,relationship,I2374,mentioned in,D21301
L21302,relationship,I2374,mentioned in,D21302
L21303,relationship,I2374,mentioned in,D21303
L21304,relationship,I2374,mentioned in,D21304
L21305,relationship,I2374,mentioned in,D20122
L21306,relationship,I2374,mentioned in,D21306
L21307,relationship,I2374,mentioned in,D40041
L21308,relationship,I2375,mentioned in,D21308
L21309,relationship,I2375,mentioned in,D21309
L21310,relationship,I2375,mentioned in,D230934
L21311,relationship,I2376,mentioned in,D21311
L21312,relationship,I2376,mentioned in,D130479
L21313,relationship,I2376,mentioned in,D21313
L21314,relationship,I2376,mentioned in,D21314
L21315,relationship,I2377,mentioned in,D21315
L21316,relationship,I2377,mentioned in,D21316
L21317,relationship,I2377,mentioned in,D21317
L21318,relationship,I2377,mentioned in,D250058
L21319,relationship,I2378,mentioned in,D21319
L21320,relationship,I2379,mentioned in,D170115
L21321,relationship,I2379,mentioned in,D21321
L21322,relationship,I2380,mentioned in,D20887
L21323,relationship,I2381,mentioned in,D21323
L21324,relationship,I2382,mentioned in,D21324
L21325,relationship,I2383,mentioned in,D21325
L21326,relationship,I2384,mentioned in,D130254
L21327,relationship,I2384,mentioned in,D21327
L21328,relationship,I2384,mentioned in,D21328
L21329,relationship,I2384,mentioned in,D21329
L21330,relationship,I2385,mentioned in,D21330
L21331,relationship,I2386,mentioned in,D21331
L21332,relationship,I2387,mentioned in,D21332
L21333,relationship,I2388,mentioned in,D21333
L21334,relationship,I2388,mentioned in,D21334
L21335,relationship,I2388,mentioned in,D21335
L21336,relationship,I2388,mentioned in,D21336
L21337,relationship,I2388,mentioned in,D80487
L21338,relationship,I2389,mentioned in,D170460
L21339,relationship,I2389,mentioned in,D21335
L21340,relationship,I2389,mentioned in,D50203
L21341,relationship,I2389,mentioned in,D21341
L21342,relationship,I2389,mentioned in,D21336
L21343,relationship,I2389,mentioned in,D21343
L21344,relationship,I2389,mentioned in,D21344
L21345,relationship,I2390,mentioned in,D80889
L21346,relationship,I2390,mentioned in,D21346
L21347,relationship,I2391,mentioned in,D21347
L21348,relationship,I2391,mentioned in,D160266
L21349,relationship,I2392,mentioned in,D160037
L21350,relationship,I2392,mentioned in,D190590
L21351,relationship,I2392,mentioned in,D21351
L21352,relationship,I2392,mentioned in,D21352
L21353,relationship,I2393,mentioned in,D21351
L21354,relationship,I2393,mentioned in,D21354
L21355,relationship,I2393,mentioned in,D21355
L21356,relationship,I2393,mentioned in,D110161
L21357,relationship,I2394,mentioned in,D21357
L21358,relationship,I2394,mentioned in,D70281
L21359,relationship,I2395,mentioned in,D20117
L21360,relationship,I2396,mentioned in,D20116
L21361,relationship,I2396,mentioned in,D10117
L21362,relationship,I2397,mentioned in,D40103
L21363,relationship,I2398,mentioned in,D21363
L21364,relationship,I2399,mentioned in,D21364
L21365,relationship,I2400,mentioned in,D21365
L21366,relationship,I2400,mentioned in,D130695
L21367,relationship,I2400,mentioned in,D250079
L21368,relationship,I2400,mentioned in,D21368
L21369,relationship,I2400,mentioned in,D20124
L21370,relationship,I2401,mentioned in,D21370
L21371,relationship,I2402,mentioned in,D30611
L21372,relationship,I2403,mentioned in,D160594
L21374,relationship,I2405,mentioned in,D21374
L21375,relationship,I2405,mentioned in,D21375
L21376,relationship,I2405,mentioned in,D30145
L21377,relationship,I2405,mentioned in,D21377
L21378,relationship,I2405,mentioned in,D110071
L21379,relationship,I2406,mentioned in,D21379
L21380,relationship,I2406,mentioned in,D200339
L21381,relationship,I2406,mentioned in,D21381
L21382,relationship,I2406,mentioned in,D21382
L21383,relationship,I2406,mentioned in,D21383
L21384,relationship,I2407,mentioned in,D21384
L21385,relationship,I2408,mentioned in,D21385
L21386,relationship,I2409,mentioned in,D21386
L21387,relationship,I2409,mentioned in,D21387
L21388,relationship,I2409,mentioned in,D21388
L21389,relationship,I2410,mentioned in,D21386
L21390,relationship,I2410,mentioned in,D21388
L21391,relationship,I2411,mentioned in,D21391
L21392,relationship,I2412,mentioned in,D21392
L21393,relationship,I2413,mentioned in,D21392
L21394,relationship,I2414,mentioned in,D21394
L21395,relationship,I2415,mentioned in,D21395
L21396,relationship,I2415,mentioned in,D230397
L21397,relationship,I2416,mentioned in,D20862
L21398,relationship,I2417,mentioned in,D80093
L21399,relationship,I2417,mentioned in,D21399
L21400,relationship,I2417,mentioned in,D21400
L21401,relationship,I2417,mentioned in,D21401
L21402,relationship,I2417,mentioned in,D21402
L21403,relationship,I2418,mentioned in,D230715
L21404,relationship,I2418,mentioned in,D21404
